station_name,station_number,x,y
Ada,78,-96.5139,47.3211
Adams,111,-98.075869,48.499814
Alamo,98,-103.471843,48.546510
Amidon,142,-103.316290,46.488490
Arnegard,138,-103.45559,47.93947
Baker,9,-99.648,48.167
Beach,10,-103.966,46.789
Becker,118,-93.8500,45.3443
Berthold,56,-101.822,48.38
Bottineau,12,-100.760,48.821
Bowbells,58,-102.239,48.817
Bowman,13,-103.47305,46.19969
Brampton,84,-97.820760,45.984106
Brorson,7,-104.248,47.782
Campbell,87,-96.370165,46.064932
Cando,14,-99.166057,48.471903
Carrington,15,-99.132,47.509
Carson,96,-101.373829,46.443030
Cavalier,16,-97.644273,48.844273
Charbonneau,137,-103.79051,47.92094
Clarissa,124,-94.9058,46.11156
Cooperstown,85,-98.177288,47.442811
Courtenay,140,-98.679862,47.221179
Crane,134,-102.35415,48.06478
Crary,18,-98.606,48.050
Croff,136,-102.87721,47.74952
Crosby,65,-103.311735,48.807152
Crystal,104,-97.7644,48.6159
Dagmar,99,-104.346503,48.555903
Dazey,19,-98.138,47.183
Denhoff,129,-100.246766,47.487398
Dickinson,20,-102.813,46.895
Dooley,101,-104.384671,48.833729
Dunn,81,-102.6308,47.3416
Edgeley,21,-98.766055,46.319216
Edmore,97,-98.512766,48.420564
Ekre,75,-97.140927,46.540042
Eldred,2,-96.822,47.688
Epping,139,-103.31802,48.25606
Fargo,23,-96.812,46.897
Fingal,62,-97.911,46.746
Finley,86,-97.847264,47.526380
Forest,24,-97.603,48.296
Fort,89,-100.676495,46.084858
Fortuna,126,-103.805834,48.963741
Fox,93,-95.850160,48.877738
Froid,90,-104.496673,48.257930
Galesburg,25,-97.431,47.210
Garrison,83,-101.679546,47.710256
Genoa,107,-100.994301,48.153237
Grafton,77,-97.186,48.4123
Grand,26,-97.066838,47.836330
Greenbush,70,-96.325,48.704
Grenora,127,-103.881221,48.735007
Harvey,27,-99.919370,47.730459
Hawkeye,132,-102.94056,48.02410
Hazen,28,-101.679,47.302
Hettinger,29,-102.643,46.011
Hillsboro,30,-96.922,47.353
Hofflund,31,-103.1086,48.1647
Hope,102,-97.640306,47.368352
Hubbard,119,-94.9958,46.82059
Humboldt,4,-97.150,48.884
Inkster,80,-97.7104,48.1664
Jamestown,33,-98.927,46.906
Karlsruhe,59,-100.625,48.123
Kempton,105,-97.4943,47.7804
Kennedy,82,-97.041117,48.636709
Langdon,34,-98.344569,48.759878
Leonard,72,-97.283470,46.729381
Liberty,135,-102.21958,47.90568
Linton,35,-100.277,46.328
Lisbon,76,-97.721064,46.444766
Little,120,-94.2514,45.93213
Logan,141,-97.774368,47.802474
Maddock,109,-99.533754,47.991683
Mandan,36,-100.914,46.774
Marion,79,-98.3276,46.5645
Mavie,71,-95.971,48.121
Mayville,37,-97.262,47.498
McHenry,38,-98.623,47.685
Medicine,130,-102.99210,47.55994
Michigan,73,-98.172,48.019
Minot,40,-101.30791,48.18045
Mohall,41,-101.533616667,48.763833333
Mooreton,54,-96.894987,46.224074
Mott,69,-102.322,46.38
Niles,113,-99.329341,48.248454
Noonan,128,-103.006007,48.749730
Oakes,43,-98.093426,46.073734
Ottertail,103,-95.5735,46.42643
Parkers,116,-95.356,46.1694
Pekin,88,-98.310573,47.807624
Perham,114,-95.601876,46.610477
Perley,3,-96.680,47.179
Pillsbury,64,-97.791,47.225
Pine,115,-95.3717,47.01286
Plaza,67,-101.958,47.862
Prosper,44,-97.115,47.002
Rat,133,-102.69860,48.19678
Ray,106,-103.169250,48.400944
Redstone,100,-104.842003,48.821094
Rice,121,-94.2618,45.79383
Robinson,45,-99.798,47.173
Rolla,46,-99.614,48.843
Roseau,61,-95.734,48.685
Ross,66,-102.450401,48.312752
Rugby,74,-100.063,48.354
Sabin,60,-96.611683,46.794389
Sawyer,125,-101.089474,47.978289
Sidney,8,-104.152406,47.729819
St.,47,-97.493,48.601
Staples,122,-94.8087,46.38773
Steele,108,-99.992716,46.894007
Stephen,5,-96.853953,48.45675
Streeter,48,-99.46067,46.718491
Tappen,68,-99.58,46.881
Turtle,50,-100.915,47.568
Ulen,91,-96.108432,47.050473
Wadena,117,-95.2142,46.4483
Wahpeton,63,-96.666,46.355
Warren,6,-96.839,48.137
Watford,52,-103.23217,47.81042
Waukon,92,-96.132504,47.325859
Webster,112,-98.876896,48.313192
Werner,131,-102.50014,47.44446
Westport,123,-95.1718,45.71508
Williams,95,-94.980897,48.858454
Williston,53,-103.739,48.133
Wishek,57,-99.666,46.26
Zeeland,110,-99.687587,46.013378
